,INDICATOR,UNIT,UNIT_NUM,STUB_NAME,STUB_NAME_NUM,STUB_LABEL,STUB_LABEL_NUM,YEAR,YEAR_NUM,AGE,AGE_NUM,ESTIMATE,FLAG
698,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,1980,4,All ages,0.0,11.9,
728,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,1981,5,All ages,0.0,12.0,
814,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,1950,1,All ages,0.0,11.4,
815,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,1960,2,All ages,0.0,10.6,
816,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,1970,3,All ages,0.0,11.6,
817,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,1982,6,All ages,0.0,12.2,
818,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,1983,7,All ages,0.0,12.1,
819,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,1984,8,All ages,0.0,12.4,
820,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,1985,9,All ages,0.0,12.4,
821,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,1986,10,All ages,0.0,12.9,
822,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,1987,11,All ages,0.0,12.7,
823,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,1988,12,All ages,0.0,12.4,
824,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,1989,13,All ages,0.0,12.2,
825,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,1990,14,All ages,0.0,12.4,
826,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,1991,15,All ages,0.0,12.2,
827,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,1992,16,All ages,0.0,11.9,
828,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,1993,17,All ages,0.0,12.0,
829,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,1994,18,All ages,0.0,11.8,
830,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,1995,19,All ages,0.0,11.7,
831,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,1996,20,All ages,0.0,11.5,
832,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,1997,21,All ages,0.0,11.2,
833,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,1998,22,All ages,0.0,11.1,
834,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,1999,23,All ages,0.0,10.5,
835,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,2000,24,All ages,0.0,10.4,
836,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,2001,25,All ages,0.0,10.7,
837,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,2002,26,All ages,0.0,11.0,
838,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,2003,27,All ages,0.0,10.9,
839,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,2004,28,All ages,0.0,11.1,
840,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,2005,29,All ages,0.0,11.0,
841,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,2006,30,All ages,0.0,11.2,
842,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,2007,31,All ages,0.0,11.5,
843,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,2008,32,All ages,0.0,11.8,
844,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,2009,33,All ages,0.0,12.0,
845,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,2010,34,All ages,0.0,12.4,
846,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,2011,35,All ages,0.0,12.7,
847,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,2012,36,All ages,0.0,12.9,
848,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,2013,37,All ages,0.0,13.0,
849,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,2014,38,All ages,0.0,13.4,
850,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,2015,39,All ages,0.0,13.7,
851,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,2016,40,All ages,0.0,13.9,
852,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,2017,41,All ages,0.0,14.5,
853,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Total,0,All persons,0.0,2018,42,All ages,0.0,14.8,
854,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,1950,1,10-14 years,1.0,0.3,
855,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,1960,2,10-14 years,1.0,0.5,
856,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,1970,3,10-14 years,1.0,0.6,
857,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,1980,4,10-14 years,1.0,0.8,
858,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,1981,5,10-14 years,1.0,0.9,
859,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,1982,6,10-14 years,1.0,1.1,
860,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,1983,7,10-14 years,1.0,1.1,
861,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,1984,8,10-14 years,1.0,1.3,
862,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,1985,9,10-14 years,1.0,1.6,
863,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,1986,10,10-14 years,1.0,1.5,
864,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,1987,11,10-14 years,1.0,1.5,
865,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,1988,12,10-14 years,1.0,1.4,
866,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,1989,13,10-14 years,1.0,1.4,
867,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,1990,14,10-14 years,1.0,1.5,
868,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,1991,15,10-14 years,1.0,1.5,
869,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,1992,16,10-14 years,1.0,1.7,
870,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,1993,17,10-14 years,1.0,1.7,
871,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,1994,18,10-14 years,1.0,1.7,
872,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,1995,19,10-14 years,1.0,1.7,
873,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,1996,20,10-14 years,1.0,1.5,
874,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,1997,21,10-14 years,1.0,1.5,
875,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,1998,22,10-14 years,1.0,1.6,
876,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,1999,23,10-14 years,1.0,1.2,
877,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,2000,24,10-14 years,1.0,1.5,
878,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,2001,25,10-14 years,1.0,1.3,
879,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,2002,26,10-14 years,1.0,1.2,
880,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,2003,27,10-14 years,1.0,1.1,
881,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,2004,28,10-14 years,1.0,1.3,
882,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,2005,29,10-14 years,1.0,1.3,
883,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,2006,30,10-14 years,1.0,1.0,
884,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,2007,31,10-14 years,1.0,0.9,
885,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,2008,32,10-14 years,1.0,1.0,
886,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,2009,33,10-14 years,1.0,1.3,
887,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,2010,34,10-14 years,1.0,1.3,
888,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,2011,35,10-14 years,1.0,1.4,
889,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,2012,36,10-14 years,1.0,1.5,
890,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,2013,37,10-14 years,1.0,1.9,
891,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,2014,38,10-14 years,1.0,2.1,
892,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,2015,39,10-14 years,1.0,2.0,
893,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,2016,40,10-14 years,1.0,2.1,
894,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,2017,41,10-14 years,1.0,2.5,
895,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,10-14 years,1.1,2018,42,10-14 years,1.0,2.9,
896,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,1950,1,15-24 years,2.0,4.5,
897,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,1960,2,15-24 years,2.0,5.2,
898,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,1970,3,15-24 years,2.0,8.8,
899,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,1980,4,15-24 years,2.0,12.3,
900,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,1981,5,15-24 years,2.0,12.2,
901,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,1982,6,15-24 years,2.0,12.1,
902,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,1983,7,15-24 years,2.0,11.8,
903,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,1984,8,15-24 years,2.0,12.4,
904,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,1985,9,15-24 years,2.0,12.8,
905,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,1986,10,15-24 years,2.0,12.9,
906,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,1987,11,15-24 years,2.0,12.7,
907,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,1988,12,15-24 years,2.0,12.9,
908,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,1989,13,15-24 years,2.0,13.0,
909,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,1990,14,15-24 years,2.0,13.2,
910,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,1991,15,15-24 years,2.0,13.0,
911,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,1992,16,15-24 years,2.0,12.9,
912,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,1993,17,15-24 years,2.0,13.3,
913,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,1994,18,15-24 years,2.0,13.6,
914,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,1995,19,15-24 years,2.0,13.0,
915,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,1996,20,15-24 years,2.0,11.8,
916,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,1997,21,15-24 years,2.0,11.2,
917,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,1998,22,15-24 years,2.0,10.9,
918,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,1999,23,15-24 years,2.0,10.1,
919,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,2000,24,15-24 years,2.0,10.2,
920,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,2001,25,15-24 years,2.0,9.9,
921,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,2002,26,15-24 years,2.0,9.8,
922,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,2003,27,15-24 years,2.0,9.6,
923,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,2004,28,15-24 years,2.0,10.3,
924,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,2005,29,15-24 years,2.0,9.9,
925,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,2006,30,15-24 years,2.0,9.8,
926,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,2007,31,15-24 years,2.0,9.6,
927,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,2008,32,15-24 years,2.0,9.9,
928,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,2009,33,15-24 years,2.0,10.0,
929,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,2010,34,15-24 years,2.0,10.5,
930,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,2011,35,15-24 years,2.0,11.0,
931,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,2012,36,15-24 years,2.0,11.1,
932,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,2013,37,15-24 years,2.0,11.1,
933,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,2014,38,15-24 years,2.0,11.6,
934,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,2015,39,15-24 years,2.0,12.5,
935,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,2016,40,15-24 years,2.0,13.2,
936,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,2017,41,15-24 years,2.0,14.5,
937,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-24 years,1.2,2018,42,15-24 years,2.0,14.5,
938,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-19 years,1.21,1950,1,15-19 years,2.1,2.7,
939,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-19 years,1.21,1960,2,15-19 years,2.1,3.6,
940,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-19 years,1.21,1970,3,15-19 years,2.1,5.9,
941,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-19 years,1.21,1980,4,15-19 years,2.1,8.5,
942,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-19 years,1.21,1981,5,15-19 years,2.1,8.6,
943,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-19 years,1.21,1982,6,15-19 years,2.1,8.7,
944,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-19 years,1.21,1983,7,15-19 years,2.1,8.6,
945,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-19 years,1.21,1984,8,15-19 years,2.1,8.9,
946,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-19 years,1.21,1985,9,15-19 years,2.1,9.9,
947,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-19 years,1.21,1986,10,15-19 years,2.1,10.1,
948,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-19 years,1.21,1987,11,15-19 years,2.1,10.2,
949,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-19 years,1.21,1988,12,15-19 years,2.1,11.1,
950,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-19 years,1.21,1989,13,15-19 years,2.1,11.1,
951,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-19 years,1.21,1990,14,15-19 years,2.1,11.1,
952,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-19 years,1.21,1991,15,15-19 years,2.1,11.0,
953,Death rates for suicide,"Deaths per 100,000 resident population, crude",2,Age,1,15-19 years,1.21,1992,16,15-19 years,2.1,10.7,
